territory_code	cd_nom	revised_conservation_priority	revision_date
AURA	79868	2	2019-01-01
AURA	130728	2	2019-01-01
AURA	130729	2	2019-01-01
AURA	79914	2	2019-01-01
AURA	610789	2	2019-01-01
AURA	80955	1	2019-01-01
AURA	81035	2	2019-01-01
AURA	81098	2	2019-01-01
AURA	81142	2	2019-01-01
AURA	81166	2	2019-01-01
AURA	81260	2	2019-01-01
AURA	81316	2	2019-01-01
AURA	81347	2	2019-01-01
AURA	81355	1	2019-01-01
AURA	81522	2	2019-01-01
AURA	81620	2	2019-01-01
AURA	81935	2	2019-01-01
AURA	82282	2	2019-01-01
AURA	82286	2	2019-01-01
AURA	82287	2	2019-01-01
AURA	143482	2	2019-01-01
AURA	82478	2	2019-01-01
AURA	131373	2	2019-01-01
AURA	82509	2	2019-01-01
AURA	82619	2	2019-01-01
AURA	82661	2	2019-01-01
AURA	83607	2	2019-01-01
AURA	83638	2	2019-01-01
AURA	83756	1	2019-01-01
AURA	83951	2	2019-01-01
AURA	84328	2	2019-01-01
AURA	84476	1	2019-01-01
AURA	131826	2	2019-01-01
AURA	131849	2	2019-01-01
AURA	84817	2	2019-01-01
AURA	84839	2	2019-01-01
AURA	84859	2	2019-01-01
AURA	131929	2	2019-01-01
AURA	85897	2	2019-01-01
AURA	86186	2	2019-01-01
AURA	86199	2	2019-01-01
AURA	86394	1	2019-01-01
AURA	159574	2	2019-01-01
AURA	87275	2	2019-01-01
AURA	87417	2	2019-01-01
AURA	87620	2	2019-01-01
AURA	132569	2	2019-01-01
AURA	88077	2	2019-01-01
AURA	88344	2	2019-01-01
AURA	88360	2	2019-01-01
AURA	88380	2	2019-01-01
AURA	88386	2	2019-01-01
AURA	88391	2	2019-01-01
AURA	88400	2	2019-01-01
AURA	88420	2	2019-01-01
AURA	88426	1	2019-01-01
AURA	88472	2	2019-01-01
AURA	88508	2	2019-01-01
AURA	88509	2	2019-01-01
AURA	526279	1	2019-01-01
AURA	88576	2	2019-01-01
AURA	88606	2	2019-01-01
AURA	154761	2	2019-01-01
AURA	88662	2	2019-01-01
AURA	88669	2	2019-01-01
AURA	88675	2	2019-01-01
AURA	88693	2	2019-01-01
AURA	88932	2	2019-01-01
AURA	132840	2	2019-01-01
AURA	89149	2	2019-01-01
AURA	90046	2	2019-01-01
AURA	90080	2	2019-01-01
AURA	90116	2	2019-01-01
AURA	133172	2	2019-01-01
AURA	91199	2	2019-01-01
AURA	91346	2	2019-01-01
AURA	91727	2	2019-01-01
AURA	92054	2	2019-01-01
AURA	145654	2	2019-01-01
AURA	92254	2	2019-01-01
AURA	92331	2	2019-01-01
AURA	92651	2	2019-01-01
AURA	92807	2	2019-01-01
AURA	93122	2	2019-01-01
AURA	717746	2	2019-01-01
AURA	93829	2	2019-01-01
AURA	94068	2	2019-01-01
AURA	810955	2	2019-01-01
AURA	94114	2	2019-01-01
AURA	619231	2	2019-01-01
AURA	94252	2	2019-01-01
AURA	94449	2	2019-01-01
