id_reglementation	territory_code	cd_nom	revised_conservation_priority	revision_date
HIE_AURA_01	01	80212	3	2019-01-01
HIE_AURA_01	01	81098	3	2019-01-01
HIE_AURA_01	01	81142	3	2019-01-01
HIE_AURA_01	01	81166	3	2019-01-01
HIE_AURA_01	01	81190	3	2019-01-01
HIE_AURA_01	01	81260	3	2019-01-01
HIE_AURA_01	01	81316	2	2019-01-01
HIE_AURA_01	01	81347	3	2019-01-01
HIE_AURA_01	01	81501	3	2019-01-01
HIE_AURA_01	01	82130	2	2019-01-01
HIE_AURA_01	01	82282	3	2019-01-01
HIE_AURA_01	01	82286	2	2019-01-01
HIE_AURA_01	01	82544	3	2019-01-01
HIE_AURA_01	01	83152	3	2019-01-01
HIE_AURA_01	01	83584	3	2019-01-01
HIE_AURA_01	01	84328	3	2019-01-01
HIE_AURA_01	01	84330	3	2019-01-01
HIE_AURA_01	01	131848	3	2019-01-01
HIE_AURA_01	01	85486	2	2019-01-01
HIE_AURA_01	01	87275	3	2019-01-01
HIE_AURA_01	01	88344	3	2019-01-01
HIE_AURA_01	01	88391	3	2019-01-01
HIE_AURA_01	01	88472	3	2019-01-01
HIE_AURA_01	01	88632	3	2019-01-01
HIE_AURA_01	01	154761	3	2019-01-01
HIE_AURA_01	01	88669	3	2019-01-01
HIE_AURA_01	01	88762	3	2019-01-01
HIE_AURA_01	01	88845	3	2019-01-01
HIE_AURA_01	01	89316	3	2019-01-01
HIE_AURA_01	01	92515	3	2019-01-01
HIE_AURA_01	01	93456	3	2019-01-01
HIE_AURA_01	01	717746	3	2019-01-01
HIE_AURA_01	01	888128	2	2019-01-01
HIE_AURA_01	01	94068	3	2019-01-01
HIE_AURA_01	01	94423	3	2019-01-01
HIE_AURA_01	01	94572	3	2019-01-01
HIE_AURA_01	01	94833	3	2019-01-01
HIE_AURA_01	01	95439	3	2019-01-01
HIE_AURA_01	01	95847	1	2019-01-01
HIE_AURA_01	01	95860	3	2019-01-01
HIE_AURA_01	01	95877	3	2019-01-01
HIE_AURA_01	01	95916	2	2019-01-01
HIE_AURA_01	01	96130	3	2019-01-01
HIE_AURA_01	01	718211	3	2019-01-01
HIE_AURA_01	01	96134	3	2019-01-01
HIE_AURA_01	01	521629	3	2019-01-01
HIE_AURA_01	01	96851	3	2019-01-01
HIE_AURA_01	01	97133	3	2019-01-01
HIE_AURA_01	01	97904	1	2019-01-01
HIE_AURA_01	01	98596	3	2019-01-01
HIE_AURA_01	01	99566	3	2019-01-01
HIE_AURA_01	01	100275	3	2019-01-01
HIE_AURA_01	01	100278	3	2019-01-01
HIE_AURA_01	01	101220	3	2019-01-01
HIE_AURA_01	01	101223	3	2019-01-01
HIE_AURA_01	01	101262	3	2019-01-01
HIE_AURA_01	01	96130	3	2019-01-01
HIE_AURA_01	01	102930	3	2019-01-01
HIE_AURA_01	01	103272	3	2019-01-01
HIE_AURA_01	01	612499	3	2019-01-01
HIE_AURA_01	01	103777	3	2019-01-01
HIE_AURA_01	01	103862	3	2019-01-01
HIE_AURA_01	01	103995	2	2019-01-01
HIE_AURA_01	01	137017	3	2019-01-01
HIE_AURA_01	01	105086	3	2019-01-01
HIE_AURA_01	01	105548	2	2019-01-01
HIE_AURA_01	01	105827	1	2019-01-01
HIE_AURA_01	01	718375	3	2019-01-01
HIE_AURA_01	01	106258	3	2019-01-01
HIE_AURA_01	01	106353	2	2019-01-01
HIE_AURA_01	01	106993	3	2019-01-01
HIE_AURA_01	01	610910	2	2019-01-01
HIE_AURA_01	01	107407	3	2019-01-01
HIE_AURA_01	01	109057	2	2019-01-01
HIE_AURA_01	01	109126	2	2019-01-01
HIE_AURA_01	01	159499	3	2019-01-01
HIE_AURA_01	01	110108	3	2019-01-01
HIE_AURA_01	01	138235	1	2019-01-01
HIE_AURA_01	01	110341	1	2019-01-01
HIE_AURA_01	01	138282	3	2019-01-01
HIE_AURA_01	01	111452	3	2019-01-01
HIE_AURA_01	01	111474	3	2019-01-01
HIE_AURA_01	01	138815	3	2019-01-01
HIE_AURA_01	01	114554	2	2019-01-01
HIE_AURA_01	01	115226	3	2019-01-01
HIE_AURA_01	01	115256	3	2019-01-01
HIE_AURA_01	01	115669	3	2019-01-01
HIE_AURA_01	01	116870	2	2019-01-01
HIE_AURA_01	01	117146	2	2019-01-01
HIE_AURA_01	01	117156	2	2019-01-01
HIE_AURA_01	01	121329	3	2019-01-01
HIE_AURA_01	01	121552	2	2019-01-01
HIE_AURA_01	01	121554	3	2019-01-01
HIE_AURA_01	01	141033	3	2019-01-01
HIE_AURA_01	01	123562	3	2019-01-01
HIE_AURA_01	01	123789	3	2019-01-01
HIE_AURA_01	01	123960	2	2019-01-01
HIE_AURA_01	01	124412	2	2019-01-01
HIE_AURA_01	01	124699	3	2019-01-01
HIE_AURA_01	01	125319	3	2019-01-01
HIE_AURA_01	01	127191	3	2019-01-01
HIE_AURA_01	01	142006	1	2019-01-01
HIE_AURA_01	01	128311	3	2019-01-01
HIE_AURA_01	01	128315	2	2019-01-01
HIE_AURA_01	01	128343	3	2019-01-01
HIE_AURA_01	01	128347	3	2019-01-01
HIE_AURA_01	01	129643	3	2019-01-01
HIE_AURA_26	26	79865	2	2019-01-01
HIE_AURA_26	26	79914	3	2019-01-01
HIE_AURA_26	26	80864	3	2019-01-01
HIE_AURA_26	26	81035	3	2019-01-01
HIE_AURA_26	26	81287	2	2019-01-01
HIE_AURA_26	26	81507	2	2019-01-01
HIE_AURA_26	26	81624	2	2019-01-01
HIE_AURA_26	26	81935	3	2019-01-01
HIE_AURA_26	26	717075	3	2019-01-01
HIE_AURA_26	26	131373	2	2019-01-01
HIE_AURA_26	26	82509	3	2019-01-01
HIE_AURA_26	26	82619	2	2019-01-01
HIE_AURA_26	26	612395	1	2019-01-01
HIE_AURA_26	26	83422	3	2019-01-01
HIE_AURA_26	26	83535	3	2019-01-01
HIE_AURA_26	26	83638	3	2019-01-01
HIE_AURA_26	26	84100	3	2019-01-01
HIE_AURA_26	26	84297	1	2019-01-01
HIE_AURA_26	26	84328	3	2019-01-01
HIE_AURA_26	26	84330	3	2019-01-01
HIE_AURA_26	26	131826	3	2019-01-01
HIE_AURA_26	26	84514	3	2019-01-01
HIE_AURA_26	26	131849	3	2019-01-01
HIE_AURA_26	26	84817	3	2019-01-01
HIE_AURA_26	26	84904	3	2019-01-01
HIE_AURA_26	26	86394	2	2019-01-01
HIE_AURA_26	26	87053	3	2019-01-01
HIE_AURA_26	26	87102	2	2019-01-01
HIE_AURA_26	26	87106	2	2019-01-01
HIE_AURA_26	26	87136	2	2019-01-01
HIE_AURA_26	26	87275	3	2019-01-01
HIE_AURA_26	26	88344	3	2019-01-01
