territory_code	cd_nom	revised_conservation_priority	revision_date
PACA	610735	1	2017-01-01
PACA	610607	1	2017-01-01
PACA	610608	1	2017-01-01
PACA	80162	1	2017-01-01
PACA	80263	1	2017-01-01
PACA	81286	1	2017-01-01
PACA	81297	1	2017-01-01
PACA	81449	1	2017-01-01
PACA	81506	1	2017-01-01
PACA	81530	1	2017-01-01
PACA	161703	1	2017-01-01
PACA	81926	1	2017-01-01
PACA	612395	1	2017-01-01
PACA	82972	1	2017-01-01
PACA	83276	1	2017-01-01
PACA	83636	1	2017-01-01
PACA	459326	1	2017-01-01
PACA	83810	1	2017-01-01
PACA	83941	1	2017-01-01
PACA	83992	1	2017-01-01
PACA	84005	1	2017-01-01
PACA	788856	1	2017-01-01
PACA	84195	1	2017-01-01
PACA	84297	1	2017-01-01
PACA	84494	1	2017-01-01
PACA	84910	1	2017-01-01
PACA	85079	1	2017-01-01
PACA	85714	1	2017-01-01
PACA	85715	1	2017-01-01
PACA	87601	1	2017-01-01
PACA	132921	1	2017-01-01
PACA	89623	1	2017-01-01
PACA	132919	1	2017-01-01
PACA	132920	1	2017-01-01
PACA	132922	1	2017-01-01
PACA	89676	1	2017-01-01
PACA	89841	1	2017-01-01
PACA	90335	1	2017-01-01
PACA	90653	1	2017-01-01
PACA	91647	1	2017-01-01
PACA	91941	1	2017-01-01
PACA	92329	1	2017-01-01
PACA	92481	1	2017-01-01
PACA	92544	1	2017-01-01
PACA	92700	1	2017-01-01
PACA	93236	1	2017-01-01
PACA	93777	1	2017-01-01
PACA	93906	1	2017-01-01
PACA	810956	1	2017-01-01
PACA	94136	1	2017-01-01
PACA	810955	1	2017-01-01
PACA	94392	1	2017-01-01
PACA	161239	1	2017-01-01
PACA	95847	1	2017-01-01
PACA	96911	1	2017-01-01
PACA	96939	1	2017-01-01
PACA	97424	1	2017-01-01
PACA	97533	1	2017-01-01
PACA	134418	1	2017-01-01
PACA	97904	1	2017-01-01
PACA	98978	1	2017-01-01
PACA	99072	1	2017-01-01
PACA	99776	1	2017-01-01
PACA	99777	1	2017-01-01
PACA	612475	1	2017-01-01
PACA	100945	1	2017-01-01
PACA	717776	1	2017-01-01
PACA	103420	1	2017-01-01
PACA	136812	1	2017-01-01
PACA	103626	1	2017-01-01
PACA	103842	1	2017-01-01
PACA	610654	1	2017-01-01
PACA	104052	1	2017-01-01
PACA	105827	1	2017-01-01
PACA	105837	1	2017-01-01
PACA	106056	1	2017-01-01
PACA	106058	1	2017-01-01
PACA	106068	1	2017-01-01
PACA	106097	1	2017-01-01
PACA	106651	1	2017-01-01
PACA	107108	1	2017-01-01
PACA	107190	1	2017-01-01
PACA	107506	1	2017-01-01
PACA	107728	1	2017-01-01
PACA	108683	1	2017-01-01
PACA	108714	1	2017-01-01
PACA	109080	1	2017-01-01
PACA	109496	1	2017-01-01
PACA	109874	1	2017-01-01
PACA	110068	1	2017-01-01
PACA	138235	1	2017-01-01
PACA	138241	1	2017-01-01
PACA	110341	1	2017-01-01
PACA	608749	1	2017-01-01
PACA	111664	1	2017-01-01
PACA	138672	1	2017-01-01
PACA	610876	1	2017-01-01
PACA	113369	1	2017-01-01
PACA	113410	1	2017-01-01
PACA	113612	1	2017-01-01
PACA	113626	1	2017-01-01
PACA	113632	1	2017-01-01
PACA	114854	1	2017-01-01
PACA	115458	1	2017-01-01
PACA	115903	1	2017-01-01
PACA	116323	1	2017-01-01
PACA	117165	1	2017-01-01
PACA	117205	1	2017-01-01
PACA	612626	1	2017-01-01
PACA	117624	1	2017-01-01
PACA	117876	1	2017-01-01
PACA	117885	1	2017-01-01
PACA	117886	1	2017-01-01
PACA	117897	1	2017-01-01
PACA	119509	1	2017-01-01
PACA	140827	1	2017-01-01
PACA	140970	1	2017-01-01
PACA	122824	1	2017-01-01
PACA	123402	1	2017-01-01
PACA	123561	1	2017-01-01
PACA	161281	1	2017-01-01
PACA	611482	1	2017-01-01
PACA	124785	1	2017-01-01
PACA	124848	1	2017-01-01
PACA	718295	1	2017-01-01
PACA	125892	1	2017-01-01
PACA	125970	1	2017-01-01
PACA	125990	1	2017-01-01
PACA	126007	1	2017-01-01
PACA	141577	1	2017-01-01
PACA	126023	1	2017-01-01
PACA	127416	1	2017-01-01
PACA	142006	1	2017-01-01
PACA	128762	1	2017-01-01
PACA	128782	1	2017-01-01
PACA	116963	1	2017-01-01
PACA	129500	1	2017-01-01
PACA	611324	1	2017-01-01
PACA	717697	1	2017-01-01
PACA	788873	1	2017-01-01
PACA	79716	2	2017-01-01
PACA	79865	2	2017-01-01
PACA	130749	2	2017-01-01
PACA	80238	2	2017-01-01
PACA	80347	2	2017-01-01
PACA	130885	2	2017-01-01
PACA	80739	2	2017-01-01
PACA	80912	2	2017-01-01
PACA	80955	2	2017-01-01
PACA	81019	2	2017-01-01
PACA	81287	2	2017-01-01
PACA	81316	2	2017-01-01
PACA	81350	2	2017-01-01
PACA	81421	2	2017-01-01
PACA	81463	2	2017-01-01
PACA	81507	2	2017-01-01
PACA	81538	2	2017-01-01
PACA	81610	2	2017-01-01
PACA	81624	2	2017-01-01
PACA	81869	2	2017-01-01
PACA	81943	2	2017-01-01
PACA	81966	2	2017-01-01
PACA	131286	2	2017-01-01
PACA	82130	2	2017-01-01
PACA	131314	2	2017-01-01
