territory_code	cd_nom	revised_conservation_priority	revision_date
ALP	610607	2	2020-01-01
ALP	133766	2	2020-01-01
ALP	81166	2	2020-01-01
ALP	126806	2	2020-01-01
ALP	98979	2	2020-01-01
ALP	107509	1	2020-01-01
ALP	132920	2	2020-01-01
ALP	127469	2	2020-01-01
ALP	123899	2	2020-01-01
ALP	99741	2	2020-01-01
ALP	104192	1	2020-01-01
ALP	99988	2	2020-01-01
ALP	138817	2	2020-01-01
ALP	81926	2	2020-01-01
ALP	117521	1	2020-01-01
ALP	89841	1	2020-01-01
ALP	110294	1	2020-01-01
ALP	101789	2	2020-01-01
ALP	88932	2	2020-01-01
ALP	611038	2	2020-01-01
ALP	100273	1	2020-01-01
ALP	92700	2	2020-01-01
ALP	132569	2	2020-01-01
ALP	717782	2	2020-01-01
ALP	96469	1	2020-01-01
ALP	84297	2	2020-01-01
ALP	97133	2	2020-01-01
ALP	104766	1	2020-01-01
ALP	526279	1	2020-01-01
ALP	619231	1	2020-01-01
ALP	112592	2	2020-01-01
ALP	109534	2	2020-01-01
ALP	111661	1	2020-01-01
ALP	160974	2	2020-01-01
ALP	102451	1	2020-01-01
ALP	161281	2	2020-01-01
ALP	103803	1	2020-01-01
ALP	120951	2	2020-01-01
ALP	102523	1	2020-01-01
ALP	94449	2	2020-01-01
ALP	92651	2	2020-01-01
ALP	132196	1	2020-01-01
ALP	103383	2	2020-01-01
ALP	83945	2	2020-01-01
ALP	99951	2	2020-01-01
ALP	107132	2	2020-01-01
ALP	131929	1	2020-01-01
ALP	102794	2	2020-01-01
ALP	113632	2	2020-01-01
ALP	80351	2	2020-01-01
ALP	127928	1	2020-01-01
ALP	117681	2	2020-01-01
ALP	85628	2	2020-01-01
ALP	121205	2	2020-01-01
ALP	98978	2	2020-01-01
ALP	99808	2	2020-01-01
ALP	108684	2	2020-01-01
ALP	130885	1	2020-01-01
ALP	121461	1	2020-01-01
ALP	121124	2	2020-01-01
ALP	128391	2	2020-01-01
ALP	88662	1	2020-01-01
ALP	120962	2	2020-01-01
ALP	125173	2	2020-01-01
ALP	121455	2	2020-01-01
ALP	127950	1	2020-01-01
ALP	106260	2	2020-01-01
ALP	612649	2	2020-01-01
ALP	127921	1	2020-01-01
ALP	88386	1	2020-01-01
ALP	115574	1	2020-01-01
ALP	718346	1	2020-01-01
ALP	610645	2	2020-01-01
ALP	611482	2	2020-01-01
ALP	115873	1	2020-01-01
ALP	115395	2	2020-01-01
ALP	103233	2	2020-01-01
ALP	122215	1	2020-01-01
ALP	90046	2	2020-01-01
ALP	95398	2	2020-01-01
ALP	115458	2	2020-01-01
ALP	113369	2	2020-01-01
ALP	610654	1	2020-01-01
ALP	130128	1	2020-01-01
ALP	102499	1	2020-01-01
ALP	88360	2	2020-01-01
ALP	121035	2	2020-01-01
ALP	84791	2	2020-01-01
ALP	612626	2	2020-01-01
ALP	100024	2	2020-01-01
ALP	127943	1	2020-01-01
ALP	115563	1	2020-01-01
ALP	82509	1	2020-01-01
ALP	128084	2	2020-01-01
ALP	114579	2	2020-01-01
ALP	134412	2	2020-01-01
ALP	89149	2	2020-01-01
ALP	83951	2	2020-01-01
ALP	138241	1	2020-01-01
ALP	86199	1	2020-01-01
ALP	109099	1	2020-01-01
ALP	610872	1	2020-01-01
ALP	100945	2	2020-01-01
ALP	93122	2	2020-01-01
